code,food_name,water_g,protein_g,fat_g,carbohydrate_available_g,fibre_g,ash_g
10014,"Seed, sesame (sim sim) unsalted, dry, raw",4.9,15.3,54.1,6.4,14.3,5
10015,"Seed, sunflower, unsalted, dry, raw",5.9,18.5,49.9,14.7,10.6,2.5
10016,"Water Melon, Seed Kernel, Dry, Raw",5,30,47.5,7.6,6,3.7
11001,"Honey, Raw",19.2,0.4,0,80.1,0,0.3
11002,"Sugarcane, Juice, Raw",90.2,0.1,0.2,8.5,0.6,0.4
11003,"Sugar, white, granulated or lump",0,0,0,100,0,0
12001,"Beef, broth",98.1,0.9,0.3,0,0,0.7
12002,"Coconut, fresh, water",93.9,0.8,0.1,4.8,0,0.4
12003,"Coffee, instant, dry powder or granules",3.1,16.1,1,50.4,20,9.9
12004,"Drinking chocolate, powder",1,4.4,30.9,60.4,2,1.4
12005,"Tea, chai, instant dry powder",5.1,20.2,0,50.2,8.5,16
12006,"Water, tap",99.95,0,0,0,0,0.05
12007,"Wine, Red",88.4,0.2,0,1.8,0,0.3
12008,"Wine, White, Dry",88.7,0.1,0,0.7,0,0.2
12009,"Wine, White, Sweet",84,0.2,0,5.4,0,0.2
13001,Anise seed,9.5,14.9,15.9,38.1,14.6,7
13002,"Baking powder, dry powder",4.9,0.1,0.2,43.9,0.8,50.2
13003,"Baking soda (bicarbonate), dry powder",0.3,0,0,0,0,36.9
13004,"Bay leaf, dried",5.4,7.6,8.4,48.7,26.3,3.6
13005,"Cardamom, seeds, ground",8.3,8.5,6.7,42.4,28,5.5
13006,"Chilli, fresh, raw",85.7,1.2,0.4,6.9,4.8,1.2
13007,"Chilli, dried",12.6,13.9,9.9,25.5,31.2,7
13008,"Cinnamon, dried, ground",13.1,2.8,2.6,26.3,52.3,2.9
13009,"Cloves, dry, raw",27.6,6,10.4,16,34.5,5.4
13010,"Coconut, Milk",82.4,1,14.3,1.8,0.3,0.3
13011,"Coriander Leaves, fresh, raw",81.9,3.3,0.7,7.7,3.5,2.9
13012,"Coriander seed, dried, ground",10.7,13.4,18.8,10.1,41.7,5.3
13013,"Cumin seeds, dried, raw",8.7,13.7,25.8,26.1,20.4,5.3
13014,"Curry leaves, fresh, raw",66.9,7.7,1.3,2.5,16.8,4.9
13015,Curry powder,10,10.8,13.8,30.6,27.2,7.6
13016,"Fenugreek leaves, fresh, raw",87.3,4.4,0.2,2.2,4.9,1
13017,"Fenugreek seeds, raw",9.8,21.4,6.4,23.4,36.1,3
13018,Garam masala,10.1,15.6,15.1,31,22.6,5.6
13019,"Garlic, peeled or unpeeled, fresh, raw",62,6.3,2.8,22.7,5.2,1
13020,"Ginger, dried, ground",9.9,6.9,4.5,59.4,12.9,6.3
13021,"Green Ginger (Mature), fresh, raw",73.6,2.6,1.1,13.4,7.7,1.7
13022,"Mint Leaves, fresh, raw",84.9,4.8,1.1,0.1,7.2,1.9
13023,"Onion, mature, red skinned, peeled, fresh, raw",87.9,1.5,0.1,7.6,2.3,0.6
13024,"Onion, spring, raw",90.8,1.8,0.3,4.1,2.3,0.7
13025,"Parsley, fresh, raw",81.4,5.9,0.2,4.2,5.1,3.2
13026,"Pepper, ground, black, dry, raw",11.8,10.3,2.7,44.7,26.3,4.3
13027,"Salt, Iodized",0.2,0,0,0,0,99.8
13028,"Spice, mixed or all spice",8.5,9.4,16.3,26.3,35.8,3.8
13029,"Tamarind, fruit, dry, raw",21.3,5,0.6,65.4,5.3,2.4
13030,"Tamarind, fruit, fresh, raw",20.8,2,0.2,69.5,5.3,2.2
13031,"Tomato, sauce (Ketchup)",67.5,1.6,0.2,26.1,1.5,3.4
13032,"Tomato, paste, with added salt",76.2,3.2,0.3,13.6,4.1,3
13033,"Tomato, soup, condensed, canned",84,1,0.3,10.8,1.9,2.3
13034,"Turmeric, dried, ground",13.7,6.3,3.1,51.7,20,5.2
13035,"Yeast, dry powder",7.9,35.7,4.9,30.5,19.3,6.6
14001,"Grasshopper, Brown, Fresh, Raw",71.9,12.8,12.8,0.3,1.41,0.7
14002,"Grasshopper, Green, Fresh, Raw",66.3,14.5,16.3,0.7,1.3,0.9
14003,"Termite, Dry, Raw",7,35,43.6,3.4,5.5,5.4
14004,"Termite, Fresh, Raw",36.8,30.9,27,0,2.7,3.8
15001,Uji wa mahindi (Maize Porridge),87.5,1.5,1.1,8.5,1.1,0.3
15002,"Sorghum, Finger Millet and Maize Porridge",89.8,1.3,0.9,6.3,1.3,0.4
15003,Kaimati (Fried Dumplings),18.8,4.6,21.8,52.8,1.6,0.4
15004,Mahamri (Swahili Doughnuts),22.8,6,22.1,46.6,2.1,0.4
15005,Whole Maize Flour Ugali,64.5,3.3,1.8,26,3.8,0.5
15006,Maize and Finger Millet Flour Ugali,64,3.1,1.3,24,6.6,1
15007,"Maize, Red Sorghum and Finger Millet Ugali",66.2,3.1,1.4,23.3,5.3,0.8
15008,Cassava and Red Sorghum Ugali,69.6,2.1,0.8,23.4,3.4,0.7
15009,Refined Maize Flour Ugali,62.8,3.4,1.9,27.3,4,0.6
15010,"Sorghum, Maize flour & Finger Millet Ugali",61,1.9,0.7,32.1,3.6,0.7
15011,Cassava Flour Ugali,51.6,1.1,0.3,43.7,2.2,1.3
15012,"Cassava, Millet & Sorghum Porridge",87.9,0.5,0.1,10.2,1,0.3
15013,Cassava Porridge (Uji wa Muhogo),92.6,0.1,0,6.8,0.3,0.2
15014,Finger Millet Porridge (Uji wa Wimbi),88.8,0.7,0.2,7.8,2.1,0.4
15015,Bulrush Millet Porridge (Uji wa Mawele),79.2,2,1,15.7,1.6,0.6
15016,Rice Flour Porridge (Uji wa Mchele),87.5,0.6,1.3,10.2,0.2,0.1
15017,Omena Stew (Silver Sardine Stew),68.5,8.8,13.3,6,0.7,2.7
15018,“Busara” (Whole Maize and Finger Millet Porridge),88.6,1,0.3,7.3,2.5,0.4
15019,White Chapati,18.4,7.8,21.1,49.6,2.5,0.7
15020,Brown Chapati,20.5,7.3,22.9,40.9,7.2,1.2
15022,Fried Egg (Mayai ya Kukaangwa),64.2,13.1,17.9,2.5,0,2.4
15023,Omelette,77.6,6.6,7.8,5.3,1.5,1.2
15024,Spanish Omelette,74,7.5,12.9,3.2,0.8,1.6
15025,Meat Samosa (Sambusa ya Nyama),13.9,18.8,22.2,40.5,3.1,1.6
